CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0037,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,105.61,2027.24,Yes
CUST0038,Female,0,No,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,71.81,2478.98,Yes
CUST0039,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,102.72,1567.27,Yes
CUST0040,Female,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.99,667.99,No
CUST0041,Male,1,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card,106.43,2130.02,Yes
CUST0042,Male,1,Yes,Yes,56,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,80.57,4516.07,Yes
CUST0043,Male,1,No,Yes,40,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,64.5,2586.15,No
CUST0044,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,29.06,91.83,No
CUST0045,Male,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card,114.53,5268.8,No
CUST0046,Male,1,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,31.62,345.22,No
CUST0047,Female,0,No,No,14,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer,76.85,1089.24,No
CUST0048,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card,90.87,84.44,Yes
CUST0049,Female,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,115.8,249.05,Yes
CUST0050,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer,86.68,6268.16,Yes
CUST0051,Female,0,No,No,13,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.91,838.06,Yes
CUST0052,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer,117.46,360.41,Yes
CUST0053,Female,1,Yes,Yes,6,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,61.12,366.97,Yes
CUST0054,Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,110.77,7960.09,No
CUST0055,Female,1,No,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,18,141.68,Yes
CUST0056,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,39.71,871.43,No
CUST0057,Female,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,23.71,124.37,No
CUST0058,Female,1,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,94.43,121.51,No
CUST0059,Female,1,No,No,15,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,69.3,1045.55,No
CUST0060,Male,1,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.43,508.19,No
CUST0061,Female,1,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,106.66,624.99,No
CUST0062,Female,0,No,No,45,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,79.9,3590.12,Yes
CUST0063,Male,0,No,No,29,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.29,2380.24,Yes
CUST0064,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,121.14,6756.24,No
CUST0065,Female,1,Yes,Yes,3,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,81.92,245.11,Yes
CUST0066,Female,0,Yes,Yes,24,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,76.83,1825.12,Yes
CUST0067,Male,0,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.92,872.62,Yes
CUST0068,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,122.49,1715.7,No
CUST0069,Female,0,No,Yes,49,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,63.07,3105.58,Yes
CUST0070,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,122.26,1814.14,No
CUST0071,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,89.22,149.99,Yes
CUST0072,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.28,330.59,No
CUST0073,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,101.06,1805.71,Yes
CUST0074,Female,0,No,No,10,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card,81.75,807.76,Yes
CUST0075,Female,0,No,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,104.95,5665.6,No
CUST0076,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,29.65,129.47,No
CUST0077,Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,65.38,865.89,No
CUST0078,Male,0,Yes,No,15,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,79.99,1215.06,No
CUST0079,Female,0,No,No,15,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,66.86,990.82,No
CUST0080,Male,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,27.03,876.73,Yes
CUST0081,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card,96.01,2488.1,No
CUST0082,Female,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,96.63,1348.44,Yes
CUST0083,Female,0,Yes,Yes,56,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,67.61,3809.04,No
CUST0084,Male,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,84.54,1505.38,No
CUST0085,Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,44.43,879.71,Yes
CUST0086,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer,99.84,3000.82,No
CUST0087,Female,0,Yes,Yes,57,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,110.9,6374.17,No
CUST0088,Male,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card,91.05,5836.63,No
CUST0089,Female,0,No,No,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,32.69,1056.56,No
CUST0090,Female,0,No,No,38,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,77.12,2932.03,Yes
CUST0091,Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,99.97,1373.2,Yes
CUST0092,Female,1,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,102.91,1039.43,No
CUST0093,Female,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,34.61,418.31,No
CUST0094,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,66.44,334.33,No
CUST0095,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,96.29,1629.5,No
CUST0096,Male,1,No,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,105.43,722.56,No
CUST0097,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,105.49,630.33,Yes
CUST0098,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card,101.2,225.59,No
CUST0099,Male,0,No,No,54,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,64.65,3526.39,No
CUST0100,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,121.78,1189.54,No
CUST0101,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.86,452.56,No
CUST0102,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer,109.89,0,No
CUST0103,Male,1,Yes,No,17,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,64.85,1113.49,Yes
CUST0104,Female,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Electronic check,74.28,391.05,No
CUST0105,Male,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card,101.26,5877.05,No
CUST0106,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,92.87,986.5,No
CUST0107,Female,0,No,No,31,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.12,2083.16,Yes
CUST0108,Female,0,Yes,No,9,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,72.83,690.89,No
CUST0109,Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,104.19,4294.67,Yes
CUST0110,Female,1,Yes,No,3,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,95.32,288.35,No
CUST0111,Male,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.37,558.09,No
CUST0112,Male,1,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,34.09,2.68,Yes
CUST0113,Female,0,Yes,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,25.65,203.59,No
CUST0114,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card,97.79,4132.74,No
CUST0115,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.34,314.72,No
CUST0116,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.41,1343.87,No
CUST0117,Female,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.9,4786.64,Yes
CUST0118,Male,0,No,No,8,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,65.33,498.49,No
CUST0119,Female,0,Yes,No,71,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.55,5634.77,Yes
CUST0120,Female,1,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,82.15,494.38,Yes
CUST0121,Female,0,No,Yes,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,87.1,3124.19,No
CUST0122,Male,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,95.74,3865.52,Yes
CUST0123,Female,1,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,32.72,119.83,No
CUST0124,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,92.41,1020.99,No
CUST0125,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.41,538.08,Yes
CUST0126,Female,1,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.51,1029.9,No
CUST0127,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,37.16,151.57,Yes
CUST0128,Male,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,117.09,4653.81,No
CUST0129,Female,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,101.25,2461.55,No
CUST0130,Female,0,Yes,No,24,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer,57.77,1390.36,No
CUST0131,Female,0,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,104.84,2086.28,Yes
CUST0132,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,110.76,1728.18,Yes
CUST0133,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,111.89,536.51,No
CUST0134,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.79,352.52,Yes
CUST0135,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,94.35,1033.25,No
CUST0136,Male,0,No,No,34,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,78.98,2699.5,No
CUST0137,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,107.8,186.98,Yes
CUST0138,Male,0,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,107.13,4057.18,Yes
CUST0139,Male,0,No,No,28,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,100.17,2803.81,Yes
CUST0140,Male,1,No,Yes,16,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card,108.62,1738.67,No
CUST0141,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card,82.94,95.41,Yes
CUST0142,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,112.06,231.28,No
CUST0143,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,38.57,1484.66,No
CUST0144,Male,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.84,2385.57,No
CUST0145,Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,92.36,1489.05,No
CUST0146,Female,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,35.58,280.54,No
CUST0147,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer,89.47,35.62,No
CUST0148,Female,1,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,110.66,1413.5,No
CUST0149,Female,0,No,Yes,30,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card,54.87,1669.55,Yes
CUST0150,Female,1,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,103.19,1422.27,No
CUST0151,Male,0,No,No,9,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,57.22,509.53,Yes
CUST0152,Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,112.5,1029.5,Yes
CUST0153,Male,0,No,Yes,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,101.81,3182.08,No
CUST0154,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,72.35,124,No
CUST0155,Male,0,Yes,Yes,16,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,73.7,1188.25,No
CUST0156,Male,0,No,No,16,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,70.54,1107.84,Yes
CUST0157,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,120.74,223.14,No
CUST0158,Male,1,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,43.53,720.22,No
CUST0159,Male,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,118.03,2945.7,No
CUST0160,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card,108.23,3474.76,No
CUST0161,Male,0,No,No,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,94.52,3752,Yes
CUST0162,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,98.85,1369.9,No
CUST0163,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,106.05,1133.64,No
CUST0164,Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,33.79,749,No
CUST0165,Male,1,No,Yes,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,60.65,3922.56,Yes
CUST0166,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,98.09,780.23,Yes
CUST0167,Male,0,No,Yes,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer,76.99,1307.33,No
CUST0168,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.49,1894.02,No
CUST0169,Male,0,Yes,No,43,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.41,3518.53,No
CUST0170,Male,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,94.06,2451.76,No
CUST0171,Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,87.32,180,Yes
CUST0172,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,121.39,8729.01,No
CUST0173,Male,1,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,93.1,275.23,Yes
CUST0174,Male,1,No,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card,86.2,776.47,No
CUST0175,Male,0,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,89.14,1579.85,No
CUST0176,Female,1,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,105.79,2011.53,Yes
CUST0177,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,106.57,1893.97,No
CUST0178,Male,1,Yes,Yes,6,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,78.36,485.76,No
